,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Years_as_Customer,Family_Size,Total_income_familymember,Total_Conv,RecentCmp,Total_spent,Total_spent_percent_income,Total_Purchases,AOV,Total_Purchases_year,%Wine,%Fruit,%Meat,%Fish,%Sweet,%Gold,%WebPurchases,%CatalogPurchases,%StorePurchases,%DealPurchases,products_factor,Deal_purchases,channels_factor,Basic,Graduation,Master,PhD,Married,Single,Together,Widow
0,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,63,8,1,58138.0,0,0,1529,0.013149520975592976,22,66.47826086956522,2.75,0.005461144174206199,0.0007568199800474732,0.004695723967112732,0.0014792390519109703,0.0007568199800474732,0.0007568199800474732,0.34782608695652173,0.43478260869565216,0.17391304347826086,0.13043478260869565,0.2867445716500982,0,0.8875927889713681,0,1,0,0,0,1,0,0
1,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,66,6,3,15448.0,0,0,21,0.0002265616571366922,4,4.2,0.6666666666666666,0.00035603314344899017,3.236664940445365e-05,0.0001941998964267219,6.47332988089073e-05,3.236664940445365e-05,0.0001941998964267219,0.2,0.2,0.4,0.4,0.015533955460645002,0,0.4829268292682927,0,1,0,0,0,1,0,0
2,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,55,7,1,71613.0,0,0,734,0.0051246962884352225,20,34.95238095238095,2.857142857142857,0.002974320304972561,0.0003421166547973133,0.0008867105134542611,0.000774998952704118,0.00014662142348456286,0.00029324284696912573,0.38095238095238093,0.09523809523809523,0.47619047619047616,0.047619047619047616,0.10900305219615262,0,0.32404181184668995,0,1,0,0,0,0,1,0
3,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,36,6,2,13323.0,0,0,48,0.0009006642398769093,6,6.857142857142857,1.0,0.00041281993544997375,0.0001501163401636268,0.000750581700818134,0.000375290850409067,0.00011258725512272011,0.0001876454252045335,0.2857142857142857,0.0,0.5714285714285714,0.2857142857142857,0.032844681963686694,0,0.15679442508710806,0,1,0,0,0,0,1,0
4,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,39,6,2,29146.5,0,0,407,0.0034909253096373554,14,27.133333333333333,2.3333333333333335,0.0029677662841164462,0.0007376528914277873,0.0020242567718250907,0.0007891170466436794,0.0004631773969430292,0.00025732077607946063,0.3333333333333333,0.2,0.4,0.3333333333333333,0.14093276519168138,0,0.4829268292682927,0,0,0,1,1,0,0,0
5,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,53,7,2,31256.5,0,0,702,0.0056147422977253095,20,33.42857142857143,2.857142857142857,0.008318269799881624,0.000671860253067362,0.0015676739238238446,0.0,0.000671860253067362,0.00022395341768912067,0.2857142857142857,0.19047619047619047,0.47619047619047616,0.09523809523809523,0.2790959436481168,0,0.4076655052264809,0,0,1,0,0,0,1,0
6,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,49,8,2,27817.5,0,0,563,0.0050596735926378604,17,31.27777777777778,2.125,0.004223959737575268,0.0011683292891165632,0.0029477846679248675,0.0008987148377819717,0.0008807405410263323,0.0004853060124022648,0.3888888888888889,0.16666666666666666,0.3888888888888889,0.2222222222222222,0.20246977207209077,0,0.4634146341463415,0,1,0,0,0,0,0,0
7,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,35,7,2,16727.0,0,0,146,0.0021820355701688836,8,16.22222222222222,1.1428571428571428,0.0022717761702636457,0.0002989179171399534,0.001673940335983739,8.967537514198601e-05,2.9891791713995336e-05,0.0006875112094218927,0.4444444444444444,0.0,0.4444444444444444,0.2222222222222222,0.11139386410206044,0,0.2682926829268293,0,0,0,1,1,0,0,0
8,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,7,2,15175.5,0,0,44,0.0007248286768581972,5,7.333333333333333,0.7142857142857143,0.00046126980989094266,0.0,0.0007907482455273302,9.884353069091628e-05,9.884353069091628e-05,6.589568712727751e-05,0.5,0.0,0.3333333333333333,0.16666666666666666,0.03534646467828242,0,0.3658536585365854,0,0,0,1,0,0,1,0
10,51381.5,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,37,7,2,25690.75,0,0,18,0.00017515691139979565,3,4.5,0.42857142857142855,9.731128908264648e-05,9.731128908264648e-05,0.00011677354689917577,0.0,3.892451563305859e-05,1.9462257816529296e-05,0.25,0.0,0.5,0.25,0.006043956043956044,0,0.21951219512195122,0,1,0,0,1,0,0,0
11,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,44,8,1,7500.0,0,0,45,0.002999600053326223,5,7.5,0.625,0.0004,0.0010666666666666667,0.0007333333333333333,0.0007333333333333333,6.666666666666667e-05,0.0010666666666666667,0.3333333333333333,0.0,0.5,0.16666666666666666,0.031995805860805866,0,0.21951219512195122,1,0,0,0,1,0,0,0
12,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,61,7,1,63033.0,0,0,1072,0.008503347399815972,15,67.0,2.142857142857143,0.0015388764615360208,0.00048387352656544983,0.003807529389367474,0.0017847794012660035,0.000888423524185744,0.00023797058683546713,0.1875,0.25,0.5,0.0625,0.15093755616933952,0,0.43902439024390244,0,1,0,0,0,0,0,0
13,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,68,7,3,19784.666666666668,0,0,296,0.0024934714851318337,12,22.76923076923077,1.7142857142857142,0.005888398423021195,5.054419247228493e-05,0.0013394211005155507,7.58162887084274e-05,0.00012636048118071233,0.0003538093473059945,0.46153846153846156,0.07692307692307693,0.38461538461538464,0.23076923076923078,0.20405286200472708,0,0.3883677298311445,0,0,1,0,0,0,0,0
